Código,Fecha y hora,Nombre,Género,Edad actual,País,Ciudad,¿Quieres que revisemos la ortografía e ilación de tu relato? ,Relato,Número
Republicado,4/30/2018 14:11:32,Anónimo,,,Ecuador,,,"Y aquí estoy con mi hijo de dos años viendo a su mamá insultada y golpeada todo por querer dejar a su ex. Que ahora es mi esposo y más que nunca me insulta me dice puta, perra, ofrecida. No tengo a donde ir ni con qué darle de comer a mi bebé así que me aguanto pero algún día huiremos lejos de aquí. Lo se. Lo cuento porque tengo esperanza de huir de mi infierno. S si lees esto perdóname por todo, pero me aleje por proteger tu vida y la mía.",0
Republicado,4/30/2018 14:18:57,Anónimo,,,Chile,,,"#cuentalo. Tenía 15 años, cuando hice dedo con mi prima, me llevan unos tipos, hablan cosas raras y actúan extraño...digo que paren, me quiero bajar. No nos dejan. Cada vez más violentos, tengo tanto miedo que abro la puerta del auto andando y me tiró. Pero ellos paran y me vuelven a meter adentro. Me putean. Luego llegamos a un lugar. Entre 3 me violan, se turnan entre ellos...por todos lados. A mi prima también. Nos dejan tiradas. Nunca le conté a mi mamá, me dio pánico y nunca lo hablé con mi prima tampoco. Lo cuento yo, su hija y porque tal vez ella aun se cuestiona si tuvo la culpa.",0
Republicado,4/30/2018 14:20:33,Anónimo,,,España,,,he huido de un viejo de mi bloque hasta que se ha muerto por su actitud inadecuada conmigo cada vez que me veía. he hecho ver en más de una ocasión que hablaba x telefono para que no se parara a hablar conmigo.,0
Republicado,4/30/2018 15:15:15,Anónimo,,,Perú,,,"Tengo 19 años, a los 13 mi primo me llevó con engaños a su cuarto y me violó, no grité ni dije nada porque sabía que nadie me creería, lloré toda la noche y aún lo tengo que ver en distintas ocasiones, lo cuento yo porque mi hermana tiene miedo #cuentalo",0
Republicado,4/30/2018 15:29:03,Anónimo,,,Chile,,,"A los 12 años fui abusada por mi padre pastor de una iglesia, no podía creerlo y cada vez que se repetía yo me salía de mi cuerpo e ignoraba lo que él me hacía, a los 15 años dejó de hacerlo y yo pensé que me había librado hoy a mis 27 años me entero que no es que me había librado si no que él continuó con mi pequeña hermana de entonces 6 años. Lo cuento hoy porque siempre me intente convencer que eso no era real hasta que mi hermana me confesó sus penas. Aquí estamos unidas contra esa lucha social ",0
Republicado,4/30/2018 15:37:21,Anónimo,,,México ,,,"Era madre soltera, mi ex novio me violo, lo denuncié y no me creyeron, tuve que regresar con él porque quede embarazada y no me deja en paz, lo cuento ahora por si después muero, aún tengo miedo. #Cuentalo ‬",0
674,4/30/2018 15:38:17,Anónimo,,,Colombia,,,"2014: Tengo 2 años, vivo en Bucaramanga con mi mamá, mi hermanito de 1 año y mis bisabuelos (papás del papá de mi mamá). Mi bisabuela nos cuida porque mi mamá trabaja. Siempre que vengo a Barranca en vacaciones me quiero quedar, cuando volvemos a Bucaramanga siempre hago un show llorando y no entienden el porqué, sólo lloro y digo ""no quiero ir a Bucaramanga"". Le cuento a mi bisabuela en Bucaramanga lo que me hace mi bisabuelo de más o menos 60 años, ella me dice que no diga esas cosas y que no se lo cuente a nadie, me amenaza con pegarme y mi mamá dice que son inventos míos, que eso se me va a pasar y aún siguió dejándome allá. Me saca a comprar lecherita y me la echa en mis partes íntimas, me lame, me chupa y me hace hacer lo mismo con él, lloró como nunca, le digo que huele feo, me obliga a hacerlo, no me penetra pero abusa de mí (o al menos eso es lo que sabe mi familia). Mete sus manos dentro de mí y se chupa los dedos frente a mí. Siempre me hace estas cosas cuando estamos solos, nadie me cree... Duré así durante 2 años y medio aproximadamente. 
2016: Con todas estas cosas en mi cabeza, estando en Barranca decido abrir mi pequeña boquita y contárselo a mi tía, la cual me estaba cuidando ese día y acostadas, me consintió y sentí protección. Ella, aterrada, lo habla con la familia, entrando en debate absolutamente todo, lo quieren denunciar pero, ni mi mamá ni su mamá (mi abuela) quieren hacer un escándalo, quieren tenerlo en secreto, mi mamá dice que eso se me va a olvidar, pero no se me olvida... Ahora, con 7 años, no tengo retención ni concentración en la escuela por todos estos traumas psicológicos. Le cuentan a mi papá, y él devastado lo denuncia, aún no se ha hecho justicia... Debido a todo lo que mi familia habló y estando todos allí, muchas cosas salen a la luz, otra prima, después de 9 años, llorando dice que a ella le pasó igual, la mamá decide poner el denuncio, pero, aún no se hace justicia, su papá no lo sabe, mi prima fue desarrollando su personalidad debido a eso, pero ella a sus 7-8 años decide olvidarlo, lo que no sabe es que inconscientemente actuó sobre ella y su forma de ser.
Hace poco fuimos a Bucaramanga a un paseo, fue mi bisabuela, mi bisabuelo no, pero tenía miedo... aún disfrutando el paseo, tenía miedo de que llegara, mi familia aún no entiende cómo mi mamá puede estar en contacto con las personas que destruyeron mi infancia y mi vida.

LO CUENTO YO, PORQUE MI PRIMITA AÚN NO SABE LEER NI ESCRIBIR BIEN PARA PUBLICARLO, PORQUE A MÍ ME DESTRUYERON MI VIDA Y MI FORMA DE SER TAMBIÉN, LO CUENTO YO PORQUE TRATÉ DE DARLE A MI PRIMITA él CONSUELO Y LA VOZ QUE NO ME DIERON EN ESE MOMENTO PORQUE NADIE LO SABÍA. ",674
Republicado,4/30/2018 15:40:51,Anónimo,,,España,,,"Cuando tenía 25 años acababa de salir de trabajar, eran las once de la noche. Sentía que alguien venía detrás, era un hombre, me violo. Se descubrio que nos lo había hecho a más de 80, solamente unas siete denunciamos y no las culpo. Fue en Gijón, la prensa lo llamó él violador de la feve",0
Republicado,4/30/2018 15:41:53,Anónimo,,,España,,,"Cuando tenía 25 años acababa de salir de trabajar, eran las once de la noche. Sentía que alguien venía detrás, era un hombre, me violo. Se descubrio que nos lo había hecho a más de 80, solamente unas siete denunciamos y no las culpo. Fue en Gijón, la prensa lo llamó él violador de la feve",0
Republicado,4/30/2018 16:13:35,Anónimo,,,Chile,,,"Tengo 27 años y fui tocada por mi papá biológico borracho a los 4 años , mi mamá denunció pero pronto se aburrió , mi padrastro abusó de mí a los 8 años fue peor me amenazó con decirles a todos y que nadie me quería sobre todo mi mamá   aguante muchas cosas agresiones físicas psicológicas por muchos años por miedo aguante, me embarazo y me obligó a decir que era de otro hombre, me pateó y automedico para perder al bebé hasta que se resigno y tuve a mi hijo él me hizo un poco más fuerte no lo culpo es sólo un niño sólo hace 4 años salí de mi calvario mi mama supo cuando denuncie lo apoya a él , me abandono sufro por ello hasta del dia de hoy ella no me ama... me ayudaron y  denuncié y aún no hacen justicia tengo estados depresivos pero aún así quiero vivir por mi familia y por las que no pudieron contarlo ",0
Republicado,4/30/2018 16:14:50,Anónimo,,,México ,,,"Tenía 15 años con un novio de 21 me llevó a su casa para tener relaciones iba decidida a hacerlo para poder salir de casa  todo iba bn hasta que le dije q no lo hiciera con su pene.  a punto de penetrarme diciéndole que no aun así lo hizo tenía más fuerza que yo guarde silencio por miedo a qe no me creerían nadie lo sabe aun,.  NO ES NOOO. ",0
Republicado,4/30/2018 16:30:53,Anónimo,,,Chile,,,Fui abusada por un primo y mi abuelo desde que tenía 6 años aproximadamente hasta los 11 o 12 años además  de a mi yo se que se los hicieron a otros de mis primos cuando le contamos lo de mi primo  a mis tías y mi mamá dijeron algo así como que era algo sé la edad. Cuando le dije a mi primo que me dejara de molestar que iba a hablar me dijo que le dijera por los abusos provocados por otras personas  y yo no puedo recordar bien. Lo de mi abuelo lo sabe sólo mi actual pareja y me pienso que jamás se lo voy a contar a otra persona tengo  30 años y cada vez que lo recuerdo me hundo en la misma depresión con la que crecí  y ganas de dejar de existir. Lo único Buenos es mi pareja que me ayuda a sobrellevar  todos.,0
Republicado,4/30/2018 16:57:31,Anónimo,,,México,,,"""Tengo 16 años,  cuando tenía 7 él amigo de la infancia de mi papá, quien además trabajaba con él, me acosaba no solo verbalmente también física, supuestamente siendo cariñoso, tocaba mis piernas, y me juntaba hacia su pene siempre que podía. Esto paso durante 3 años, gracias a Dios no llegó a más, pero hoy me día lo sigo viendo. No lo he contado por miedo a que no me crean, porque me siento apenada. NO ESTAMOS SOLAS! #cuentalo.""",0
Republicado,4/30/2018 17:08:56,Anónimo,,,México,,,"Tenía 8 años cuando un amigo de papa y de mis hermanos...él me cuidaba porque mi mamá no estaba y mis hermanos y papá tampoco...y llegue de la escuela y me hizo pasar a la casa y me encerró...para ponerme vídeos eróticos y violarme de todas maneras....me daño la matriz y ahorita no puedo tener hijos....a mamá le dije y lo único que conseguí fue que me dijera..que para que le decía...que solo quería verla sufrir....lo cuento yo ..para que vean que no son las únicas....no se sientan solas......

#cuentalo",0
Republicado,4/30/2018 17:34:10,Anónimo,,,México,,,"Tenía 9 años , me fui de vacaciones a casa de mi tía , uno de sus empleados me forzó y me toco ,tenia miedo de contarlo , sigo viva ",0
Republicado,4/30/2018 17:54:50,Anónimo,,,Perú,,,"A los 8 años mi abuelo comenzó a agarrarme las piernas una noche, me pidió que vaya a dormir con él y terminó violándome. Pasaron 10 años en lo mismo. él era mi tutor, él que me criaba. Siempre creí que era mi culpa. Me manipulo para creerlo así. Todos los días por diez años era una lucha para que no me toque.  Si decía algo, me quedaba sola. Lo cuento hoy yo porque me fui del país para comenzar una nueva vida sin él. #cuentalo",0
Republicado,4/30/2018 17:56:56,Anónimo,,,Argentina,,,Tenía un supuesto tío.. desde que tengo uso de razón hasta los 8 años me manoseaba yo lloraba cada vez q lo veía no lo quería cerca. A los 12 le conté a mi mamá la cual nunca hizo nada . Al mismo tiempo le hacía lo mismo a mi prima de un año mayor que yo. Mi mama dice que lo encaró y lo puteo. Yo no le creo. Ahora él es policía comisario nose que. Yo lo cruzo a veces y me dan ganas de tirarle el auto por encima!,0
Republicado,4/30/2018 18:08:41,Anónimo,,,Argentina,,,"Hace 30 años cuando cumple 15 años mi mamá me dijo que tenía que entregarme mi papá fue ahí donde mi mundo se hizo pedazos, de lo contrario tenía que irme de mi casa vivía en un pueblo muy pequeño no tenía familia cerca y todas las veces que podemos resistir hasta que un día fui víctima de mi papá me violó reiteradas veces pasaron los años y mi hermano mayor que yo me quiso violar y me salvé Gracias a que llegó mi tía luego de todo esto falleció mi papá mi madre envejeció Me tuve que hacer cargo de ella al ser la más chica él hermano que intentó violar mes era discapacitado por decirle una manera sufría de epilepsia Así que también tuve que estar a cargo de él y de mi madre pasaron los años mi hermano mi padre murió mi hermano también falleció pero mi madre todavía está viva Yo me estoy haciendo cargo de ella gracias a todos estos acontecimientos a lo largo de mi vida fui sufriendo muchos problemas psiquiátricos tengo trastorno bipolar el cual fue detectado hace dos años y tratados antes de eso nadie nadie me lo trató porque poco tenía acceso a salud pública le cuento esto yo porque mi mamá no se anima",0
Republicado,4/30/2018 18:22:32,Anónimo,,,Venezuela,,,"Tenía 6 años cuando mi primo empezó abusar de mi y lo siguió haciendo hasta que tenía 15, nunca pude decir nada porque me amenazó, gracias a eso sufro de ansiedad y ataques de pánico, cuento esto porque quiero que sepan que las personas de tu familia también hacen daño, cuento esto porque no puedo seguir callando.",0
Republicado,4/30/2018 18:28:36,Anónimo,,,Chile,,,"me golpeaba mientras dormía , revisaba mis cosas y si  le parecía mal me golpeaba, quede inconsciente de un golpe en la calle , rompió mi boca de un puñetazo , me obligo a tener sexo , golpeo mis costillas, mi estómago, mi cabeza, me tiró contra la pared , me lanzo contra un sillón , puso un cuchillo en mi cuello y luego intentó matarme estrangulandome y repitió mil veces que me amaba y que yo era de él y que todo lo que él hacía era culpa mía logré arrancar me encerré en cuarto llamó a una amiga .lo cuento yo porque si no fuera por mi amiga no estaría viva 
#cuentalo",0
Republicado,4/30/2018 18:31:30,Anónimo,,,España,,,"Con 16 años, un amigo de mi padre me tocó todo lo que pudo en un pub. No dije nada porque con mi edad no debería haber estado en ese sitio. Mea culpa. Vale. Con 22 años, un tío (políticamente importante) se ofreció a llevarme a casa tras una fiesta. No quería, pero me montó en él coche y me llevó a un descampado. Pesaba tres veces más que yo, salí corriendo como pude.
Luego, hace ya mucho tiempo, unos ""amigos"" y yo creamos un grupo de música folk. Entre ellos estaban un padre y una hija, con la que me llevaba genial. Él me llevó una tarde a un descampado y casi me mata. No denuncié por respeto a su hija.
La última fue hace dos años, casi. Una comida de jiji.jaja en casa de una amiga minusválida , con su cuidador. Ascensor. Digo no. Grito, llamó por teléfono para pedir ayuda, la llamada queda grabada, para leches. él tío me sigue y se monta en mi coche. Ante él miedo le juró que volvería al día siguiente, que haría  lo que quisiera, lo hice por salvar mi vida pero ni me atrevo a contarlo ese día Fui a casa. Quemé toda la ropa que llevaba puesta. Luego me arrepentí y me fui al hospital No había pruebas suficientes. Y a quienes se lo conté...qué decir! Eran mis amigos antes de eso. Según ellos, él es muy buena persona, jamás haría nada así. Hoy lo cuento porque sé que no estoy sola",0
675,4/30/2018 18:52:14,Anónimo,,,Argentina,,,"él marido de mi mamá abusó de mí desde los ocho hasta los once años, me decía que me amaba y que si decía algo le podía pasar algo a mi mamá o a mi familia. Me hacía decirle que también lo amaba y que cuando creciera me iba a ir con él. Cuando nos quedamos solos me obligaba a estar sin ropa, esto es lo más leve.. Hay cosas que no puedo decir.. Un día me cansé y se lo dije a mi mamá, sin detalles claro, hicimos la denuncia y archivaron la causa por falta de pruebas, porque no quise contar todo lo que pasaba. 
A los 17 lo vi en un cumpleaños, me fui y me siguió, no estaba solo, me violaron, me quedé quieta, hasta llegué a pensar que era mi culpa y no pude contarlo nunca porque siempre pensé que no me creerían. Todavía vivo con miedo y depresión, a pesar de que pasaron algunos años.",675
675,4/30/2018 18:56:13,Anónimo,,,Argentina,,,"Tenía 16 años. Estaba en mi fiesta para juntar fondos de egresados. 
Estaba tomando cuando un conocido me saco Luego me acuerdo de flashes nada más. Lo que sé es que abusó de mi. No podía defenderme. Nunca se lo conté a nadie. Lo cuento yo. Porque estoy viva. ",675
676,4/30/2018 19:09:22,Anónimo,,,Argentina,,,"Un familiar  manoseaba y acosaba a las mujeres de la familia desde chicas, era extremadamente celoso y si algo lo enojaba terminaba golpeandonos (por la vestimenta, por hablar con alguien del sexo opuesto, por invitar gente a casa), golpeaba a su madre si no tenía plata para darle. Lo mismo repetía con su mujer y su hija, fue denunciado muchas veces, pero siempre volvió. Es extraño ver cómo a lo largo del tiempo parte de la familia miró a un costado y hace de cuenta que no pasó nada.",676
Republicado,4/30/2018 19:10:16,Anónimo,,,Argentina,,,"Un familiar  manoseaba y acosaba a las mujeres de la familia desde chicas, era extremadamente celoso y si algo lo enojaba terminaba golpeandonos (por la vestimenta, por hablar con alguien del sexo opuesto, por invitar gente a casa), golpeaba a su madre si no tenía plata para darle. Lo mismo repetía con su mujer y su hija, fue denunciado muchas veces, pero siempre volvió. Es extraño ver cómo a lo largo del tiempo parte de la familia miró a un costado y hace de cuenta que no pasó nada.",
677,4/30/2018 19:10:36,Anónimo,,,México,,,"Tenía como 6 años cuando mi hermano comenzó su etapa de adolescente, comenzó con manosearme  cuando jugábamos, después a humillarme y a golpearme para someterme, los domingos que mis papas iban a comprar me dejaban sola con él, y él me violaba, durante la semana me tocaba y cuando podía me obligaba a llevar a mis amigas para que "" jugaran"" con él, es lo que él me decía: ""llévalas porque si no jugaré con nuestra hermana la más pequeña,  yo espero que algún día esas niñas me perdonen porque yo solo quería proteger a mi hermanita  de 4 años, les conté a mis padres a los 13  no me hicieron caso me llamaron mentirosa,  él siguió viviendo en casa hasta que tuve 16, a los 13 dejó dejó de violarme porque se entero  que se lo había dicho a nuestros padres, pero después me golpeaba  más fuerte me humillaba y me tocaba tanto mi cuerpo que comencé a tenerme asco, me tomaba fotos desnuda  para pasarelas a sus amigos, nadie me ayudó, ni siquiera me creyeron,  recuerdo que una vez  tenia como 8 se lo conté a una vecina y me dijo que sólo hiciera lo que él me pedía que lo dejara que así dolería menos. Pues que crees dolió igual. Una vez recuerdo que él estaba borracho y uno de sus amigos estaba igual de borracho y lo quería golpear porque le debía dinero y él me manoseo  para que pagara la deuda de mi hermano. Cuando le dije a mi papá  que mi hermano me había violado me pregunto :aún lo hace ? Le dije no , y él solo se levantó  y se fue, pero no hizo nada para evitar que él me dejara de golpear  y tocarme. Ahora él vive lejos y mis padres actúan como si nunca hubiera pasado algo, mi madre se me acerca a darme un abrazo y yo no puedo soportar que lo haga porque solo pienso que jamás hizo algo para ayudarme a mi y a mi pequeña hermana a la cual también violó.  ",677
Republicado,4/30/2018 19:17:45,Anónimo,,,Argentina,,,"Cuando tenía alrededor de 4 años mi primo de 14 se masturbo enfrente mío, yo lo único que le dije a mi mamá es que él pito del *** había vomitado, mi padre en vez de defenderme se enojo con mi mamá por enojarse... lo cuento yo porque lo viví. No recuerdo si me manoseó y esto lo recuerdo porque en mi casa me contaron ",
Republicado,4/30/2018 19:21:28,Anónimo,,,Argentina ,,,"Mi mamá estuvo casada 15 años con mi papá sufriendo abusos, tanto físicos como psicológicos. Le hacía mantener relaciones hasta 7 veces por noche, la maltrataba diciendo que era una puta, que no servía para nada y miles de insultos más! Hasta que un día terminó de estudiar y se separó, gracias a la ayuda de nuestra familia salimos adelante. él volvió para navidad, pero no a verme a mi, si no a ella. Cómo ella no aceptó volver con él, cortó todo tipo de relación conmigo y recibimos amenazas mucho tiempo, mamá si lees esto fuiste muy fuerte y te amo. Lo cuento yo porque sé que a vos te duele ",
678,4/30/2018 19:24:23,Anónimo,,,Chile,,,"Tenía menos de 8 años, una persona que decía ser mi abuelo, me tocaba él cuerpo mientras ""jugábamos"". Años después, la pareja de mi mamá entró a mi habitación, mientras yo dormía. Cuando desperté su mano estaba en mi seno. Desde ese día empezó para mí un largo proceso para poder dejarme de sentir tan sucia. En consecuencia empecé a odiar mi cuerpo. Creí que yo era la culpable. Él rompió la cerradura de mi habitación, lo intentó muchas veces más, pero me prometí que eso jamás volvería a pasar. Me callé por muchos años, por vergüenza y por miedo. Afortunadamente, salió de mi vida, sin embargo no fue juzgado, ni fue enfrentado. Debemos alzar la voz, para que otras niñas, mujeres, hijas, o hermanas, no pasen por ningún tipo de abuso, porque no es nuestra culpa, porque no lo merecemos, y siempre podemos seguir adelante ❤",678
679,4/30/2018 19:47:06,Anónimo,,,Bolivia ,,,"Tenía 10 años cuando un día saliendo de la escuela  un hombre me llevó a un callejón e intentó violarme, logré escapar sin que me hiciera nada, lo cuento por todas aquellas niñas  que no pudieron salvarse #cuentalo",679
680,4/30/2018 20:40:40,Anónimo,,,*bolivia,,,"#Cuéntalo Cuando tenía 7 años mi hermano empezó a tocarme , yo no sabía lo que me hacía ,a los 10 años  descubrí lo que me hacía y se lo conté a mi mamá pero no me creyó  y me hermano continuó con sus acosos ( me tocaba mientras dormía, me mostraba su miembro, me espiaba cuando me bañaba,etc) A mis 12 años pasó lo que más me temía ...me violó.Traté de alejarme de él , intente no gustarles él(vestía ropas holgadas, engordé...)pero no funcionó. 
Actualmente tengo 18 años y mi hermano aun trata de abusar de mi.
Lo cuento en anónimo porque aun no tengo la valentía de contarlo.",680
681,4/30/2018 20:57:11,Anónimo,,,Colombia,,,"Quien era mi novio, tiene relaciones sexuales con su hijastra hace 4 años,  abusó de ella desde que tenía 11 años de edad,  hoy tiene 15 años y lo sigue haciendo con consentimiento de la mamá,  cuando me enteré denuncie pero con las leyes colombianas no pasa nada ",681
687,4/30/2018 21:16:10,Anónimo,,,México,,,"#CUENTALO
Iba de camino al Colegio que está a 3 cuadras de mi casa, no había nadie porque estaba llegando tarde, un tipo pasa alado de mi y me toca muy feo, yo como iba caminando rápido concentrada en llegar apenas voy asimilando lo que me hizo, llegó a la escuela un poco en shock

Dos semanas después de nuevo iba tarde, iba con más precaución por lo que  anteriormente me había pasado, veo salir al mismo tipo con un picahielos, lo veo, me arrastra a un terreno abandonado y me quedó paralizada, quiero gritar pero la voz no me sale,quiero matarlo, quiero morderlo, quiero luchar, pero él miedo a que me mate es más fuerte, ESE TIPO ME VIOLÓ, lo cuento hoy porque hace 5 años no pude, tenía tan solo 11 años.",687
688,4/30/2018 21:23:27,Anónimo,,,México,,,"Cuando tenía 6 años mi mamá me mandó a buscar a mi papá en el campo con un señor desconocido al llegar a una siembra de milpa él me cargó y me empieza a manosear, me empieza a levantar mi vestido y a querer tocarme mi parte yo con miedo le digo que no lo haga trate de hablar lo que pude ya que yo hablaba un dialecto (mixteco) y no sabía hablar bien el español él me decía muchas cosas algunas no las entendía  otras si . Al salir del lugar veo a mi papá y sentí un gran alivio de que no me haya violado . Pasan unos años y a los 12 años él esposo de mi hermana empieza a tratar de violar me y no me deje quise gritar pero me quedé callada al día siguiente le cuento a mi mamá y a mi hermana y ellas no me creen hasta la fecha todavía veo a ese hombre y me da un asco que haya intentado violar me lo cuento ahora porque nadie me cree",688
689,4/30/2018 21:41:07,Anónimo,,,México ,,,"Mi primo me tocaba y besaba desde los 12 hasta los 15 años,  le conté a mi tía pero me ignoró, mis gritos por ayuda fueron silenciados hasta que terminé creyendo que eso era normal, cuando mi papá lo supo dijo que yo mentía.
Lo cuento hoy porque desarrolle tendencias suicidas #cuentalo",689
691,4/30/2018 21:54:49,Anónimo,,,Colombia,,,"Fui víctima de maltrato psicológico por 6 años, mi pareja un hombre celoso y machista que se cuidaba mucho de no golpearme para que no lo denunciará, llego a encerrarme para que no saliera, me hacía sentir menos porque teníamos una bebé y yo no trabajaba, se burlaba de mis trabajos manuales que hacía para no sentirme inútil, cuando por fin lo deje y acabé con este infierno, la persona de la comisaría de familia se burló de mí diciendo que las mujeres éramos unas exageradas, que todo eso era normal y que además yo tenía cara de no necesitar nada para mis hijas que trabajara. ",691
Republicado,4/30/2018 22:01:58,Anónimo,,,Colombia,,,Cuando tenía 2 año mi padre biologico me tocaba y trataba de penetrarme lloraba del dolor y solo así dejaba de hacerlo todos los días me despertaban sus manoseos y no hable durante 5 años por miedo a que me hiciera daño ahora lloro al recordar mi infancia hasta los 9 años soporte abusos de él.,
692,4/30/2018 22:21:48,Anónimo,,,Chile,,,"14 o 15 era noche buena y se suponía que la pasaría con mi padre, pero le tocó trabajar, tuve que pasarla con su pareja la cual me cuidaría pero no lo hizo,  él papá de ella y un hombre él cual no conocía, él cual me toco me manoseo y me insinuó cosas e intentó besarme, hasta el dia de hoy que tengo 25 años me cuesta recordarlo, solo lo sabe mi esposo nadie más. Ni mi padre",692
